の,of,no
少女,Little girl,shoujo
争う,Contend,arasou
板,Board,ita
達する,Reach,tassu ru
段階,stage,dankai
衛,Mamoru,mamoru
禁止,Ban,kinshi
詳細,More detail,shousai
向ける,Point,muke ru
停止,Stop,teishi
埼玉,Saitama,saitama
対立,Confrontation,tairitsu
アフリカ,Africa,afurika
知事,Governor,chiji
ワールド,world,waarudo
太陽,Sun,taiyou
国鉄,National railway,kokutetsu
兵庫,Hyogo,hyougo
訪れる,visit,otozure ru
長崎,Nagasaki,nagasaki
注目,Attention,chuumoku
連,Communicating,ren
来る,come,kuru
陸上,land,rikujou
帰国,Return home,kikoku
名誉,honor,meiyo
連隊,regiment,rentai
博物,Natural history,hakubutsu
いわゆる,So-called,iwayuru
指名,name,shimei
エネルギー,energy,enerugii
為される,It is made,nasa reru
器機,Equipment,kiki
稲妻,lightning,inazuma
地震,earthquake,jishin
土,soil,tsuchi
青,Green,ao
空間,space,kuukan
特殊,Special,tokushu
属する,Belong,zokusuru
ホテル,Hotels,hoteru
夢,dreams,yume
安定,Stability,antei
任命,Appointment,ninmei
死ぬ,die,shinu
陸,land,riku
杯,Cup,hai
発足,Inauguration,hossoku
後継,successor,koukei
精神,spirit,seishin
改称,Renaming,kaishou
画,Picture,ga
今日,today,kyou
近代,Modern,kindai
潜水,diving,sensui
破る,Defeat,yaburu
幅,width,haba
一種,A kind,isshu
藤,Wisteria,fuji
比較的,Comparatively,hikakuteki
メジャー,major,mejaa
居る,Have,iru
改良,Improvement,kairyou
席,seat,seki
継承,Inheritance,keishou
南北,South and north,nanboku
医療,Medical care,iryou
起きる,Get up,oki ru
操作,operation,sousa
理事,Director,riji
マーク,mark,maaku
機械,machine,kikai
延長,Extension,enchou
強化,Strengthening,kyouka
主催,Sponsorship,shusai
昇格,Promotion,shoukaku
優秀,excellence,yuushuu
仏,Buddha,hotoke
カー,car,kaa
打つ,strike,utsu
しばしば,often,shibashiba
トラック,truck,torakku
日付け,Date,hizuke
通算,total,tsuusan
小形,Small,kogata
占領,occupation,senryou
郷,Township,sato
到着,arrival,touchaku
紀,Kino,ki
著作,Book,chosaku
生徒,student,seito
付属,Associated,fuzoku
まだ,yet,mada
守る,protect,mamoru
また,Also,mata
東部,Eastern part,toubu
本来,Originally,honrai
通過,Passing,tsuuka
継続,Continuation,keizoku
ドル,Dollar,doru
当選,Winning,tousen
コード,code,koodo
施行,Enforcement,shikou
カリフォルニア,California,kariforunia
指摘,Pointing out,shiteki
連絡,Communication,renraku
鹿児島,Kagoshima,shika ji shima
真,true,makoto
次ぐ,Second only,tsugu
交差,Cross,kousa
なる,Become,naru
会員,Member,kaiin
岩,rock,iwa
上記,the above,jouki
以来,Since then,irai
同一,Identity,douitsu
池,pond,ike
良,Good,ryou
半,half,han
傾向,Trend,keikou
責任,responsibility,sekinin
倍,Double,bai
配信,Delivery,haishin
図書,Books,tosho
分離,Separation,bunri
ユダヤ,Judea,yudaya
大学院,graduate School,daigakuin
本人,Person himself,honnin
計算,Calculation,keisan
豊,Yutaka,yutaka
フリー,free,furii
諸島,Archipelago,sho shima
バージョン,version,baajon
スター,Star,sutaa
合う,Fit,au
命,life,inochi
小さい,small,chiisa i
冬,winter,fuyu
河,river,kawa
技,Technique,waza
スタイル,style,sutairu
ガス,gas,gasu
立てる,Establish,tate ru
地位,Status,chii
略称,Abbreviation,ryakushou
加入,Subscription,kanyuu
挑戦,challenging,chousen
アナウンサー,announcer,anaunsaa
ホール,hole,hooru
経,Through,kei
対策,Countermeasure,taisaku
資料,Document,shiryou
加盟,Affiliation,kamei
岸,shore,kishi
通う,Commute,kayou
視聴,Viewing,shichou
変える,Change,kae ru
オーストリア,Austria,oosutoria
イン,Inn,in
比,ratio,hi
一般に,In general,ippanni
確保,Ensure,kakuho
困難,Difficulty,konnan
回る,spin,mawaru
冠,crown,kan
絵,picture,e
聞く,listen,kiku
産,Production,san
増える,Increase,fue ru
価格,price,kakaku
判定,Decision,hantei
推進,Propulsion,suishin
イメージ,image,imeeji
料理,cuisine,ryouri
小,small,shou
普及,Spread,fukyuu
東海,Tokai,toukai
ユニット,unit,yunitto
熊本,Kumamoto,kumamoto
分かる,It is understood,waka ru
札幌,Sapporo,sapporo
出力,output,shutsuryoku
陣,Jin,jin
待つ,wait,matsu
羽根,Feather,hane
巡る,Over,meguru
ソフトウエア,Software,sofutouea
インターネット,the Internet,intaanetto
端,end,haji
アンド,and,ando
加わる,Join,kuwawa ru
瀬,Shallows,se
比較,Comparison,hikaku
コーチ,coach,koochi
民主党,Democratic Party,minshu tou
小さな,small,chiisa na
きっかけ,Trigger,kikkake
ストーリー,story,sutoorii
判断,Decision,handan
長男,Eldest son,chounan
領域,region,ryouiki
戦車,tank,sensha
週,week,shuu
広がる,spread,hiroga ru
声優,Radio actor,seiyuu
メディア,media,media
分割,Split,bunkatsu
改める,change,aratame ru
激しい,Violent,hageshii
モード,mode,moodo
極,very,kyoku
逮捕,Arrest,taiho
実行,Execution,jikkou
像,image,zou
移行,Migration,ikou
横,side,yoko
宝,Treasure,takara
シティ,City,shitei
マイル,Mile,mairu
対抗,Opposition,taikou
更新,update,koushin
後期,Latter period,kouki
リング,ring,ringu
学科,Department,gakka
タイ,Thailand,tai
頁,page,peeji
民主,Democratic,minshu
件,Matter,ken
ピアノ,piano,piano
本格,Full-scale,honkaku
植民,Colonization,shokumin
交流,Alternating current,kouryuu
どう,How,dou
かなり,Rather,kanari
信号,signal,shingou
身長,height,shinchou
範囲,range, hani
若い,young,wakai
保存,Storage,hozon
徳川,Tokugawa,tokugawa
京,Kyoto,kyou
軸,axis,jiku
解説,Commentary,kaisetsu
ミサイル,missile,misairu
市街,city,shigai
発射,firing,hassha
制定,Enactment,seitei
空軍,Air Force,kuugun
在籍,Enrollment,zaiseki
提案,Proposal,teian
奈良,Nara,nara
駒,Frame,koma
脚本,Scenario,kyakuhon
供給,Supply,kyoukyuu
結局,After all,kekkyoku
唯,Sole,tada
学院,Institute,gakuin
家庭,home,katei
案,Draft,an
父親,father,chichioya
衛星,satellite,eisei
志,Zhi,kokorozashi
ゴール,goal,gooru
開設,Opening,kaisetsu
前半,first half,zenhan
展示,Exhibition,tenji
ライト,Light,raito
長官,Chief,choukan
隆,Takashi,takashi
回転,rotation,kaiten
期待,Expectation,kitai
有,Yes,ari
スウェーデン,Sweden,suueeden
秋田,Akita,akita
繰り返す,repeat,kurikaesu
シーン,scene,shiin
券,ticket,ken
応じる,Respond,ouji ru
関数,function,kansuu
周年,Anniversary,shuunen
特急,Limited express,tokkyuu
岐阜,Gifu,gifu
取締,control,torishimari
乗車,Entraining,jousha
命名,naming,meimei
換える,Replace,kae ru
大量,A large amount,tairyou
奥,Inner part,oku
作用,Action,sayou
撤退,Withdrawal,tettai
ブラジル,Brazil,burajiru
名乗る,Claiming,nanoru
ゲスト,The guests,gesuto
阪神,Hanshin,hanshin
止める,stop,yameru
首,neck,kubi
通す,Through,tousu
ジョージ,George,jooji
問う,Ask,tou
伝説,Legend,densetsu
目標,the goal,mokuhyou
分かれる,Split into,waka reru
だが,But,daga
物理,Physics,butsuri
名付ける,Named,nazuke ru
中止,Discontinuation,chuushi
周,Circumference,shuu
詩,Poetry,shi
取り引き,transaction,torihiki
昼,Noon,hiru
短い,short,mijikai
伊,Italy,i
設備,Facility,setsubi
概念,concept,gainen
通る,Pass,touru
サイズ,size,saizu
キリスト教,Christianity,kirisuto kyou
すなわち,In other words,sunawachi
携帯,Mobile phone,keitai
資金,Fund,shikin
エリア,area,eria
選,Select,sen
常,Ordinary,tsune
アップ,up,appu
勤務,Work,kinmu
回避,Avoidance,kaihi
引き継ぐ,take over,hikitsugu
坂,Slope,saka
大幅,Significantly,oohaba
司,Tsukasa,tsukasa
装甲,The armor,soukou
極める,Master,kiwame ru
意見,opinion,iken
液,liquid,eki
ネットワーク,network,nettowaaku
軽,Light,kei
陽,Sun,you
銃,gun,juu
分布,distribution,bunpu
トンネル,tunnel,tonneru
階級,class,kaikyuu
執筆,writing,shippitsu
本塁,home plate,honrui
部屋,room,heya
統治,Reign,touchi
管轄,jurisdiction,kankatsu
兵器,weapons,heiki
石川,Ishikawa,ishikawa
成す,Do,nasu
拡張,Extension,kakuchou
歩兵,infantry,hohei
世代,generation,sedai
プロレス,wrestling,puroresu
病,disease,byou
浜,beach,hama
進学,Go,shingaku
泉,Fountain,izumi
地名,Place name,chimei
感,Feeling,kan
こうした,Such a,koushita
だろう,right,darou
作詞,Lyrics,sakushi
規格,standard,kikaku
一定,Certain,ittei
急行,Express train,kyuukou
呼称,Designation,koshou
学会,Society,gakkai
列,Row,retsu
窓,window,mado
生息,Inhabiting,seisoku
隣接,adjacent,rinsetsu
ラテン,Latin,raten
交渉,Negotiation,koushou
綱,Rope,tsuna
燃料,fuel,nenryou
ユーザー,user,yuuzaa
基礎,Foundation,kiso
再開,Resumption,saikai
フジテレビ,"Fuji Television Network, Inc",fujiterebi
演出,Performance,enshutsu
平和,peace,heiwa
さ,,sa
哲学,philosophy,tetsugaku
部長,Department,buchou
見做す,It is regarded,ken saku su
負ける,lose,make ru
民間,private,minkan
裏,back,ura
崩壊,Collapse,houkai
執行,Enforcement,shikkou
後述,Later,koujutsu
停車,Stopping,teisha
立場,position,tachiba
過ぎる,Pass,sugi ru
前年,Previous year,zennen
固定,Fixation,kotei
前作,Previous work,zensaku
装,Instrumentation,sou
駆逐,Expulsion,kuchiku
起用,Appointment,kiyou
奪う,Rob,ubau
本拠,Headquarters,honkyo
前述,Above-mentioned,zenjutsu
自己,self,jiko
発言,Speech,hatsugen
連れる,Tsureru,tsure ru
旅行,Travel,ryokou
認定,Certification,nintei
資格,Qualification,shikaku
物質,material,busshitsu
区別,Distinction,kubetsu
思想,Thought,shisou
保険,insurance,hoken
愛称,Pet name,aishou
プロデューサー,producer,purodeyuusaa
権利,right,kenri
侵攻,invasion,shinkou
収容,Housing,shuuyou
周囲,Surroundings,shuui
酸化,Oxidation,sanka
開通,Opening,kaitsuu
同時,simultaneous,douji
毛,hair,ke
上位,Higher order,joui
消費,consumption,shouhi
方針,policy,houshin
防御,defense,bougyo
バック,back,bakku
関,Seki,kan
背景,background,haikei
沖,Off the coast,oki
纏める,Collect,matome ru
塩,salt,shio
入社,Joined,nyuusha
電力,Electric power,denryoku
令,Decree,rei
諸国,The countries,shokoku
形状,shape,keijou
カップ,cup,kappu
金属,metal,kinzoku
主題,subject,shudai
ベルリン,Berlin,berurin
合計,total,goukei
劇,Drama,geki
ファイル,File,fairu
共産党,Communist party,kyousantou
武器,weapon,buki
不足,Shortage,fusoku
適用,Application,tekiyou
定期,Regularly,teiki
演ずる,play,enzu ru
玉,ball,tama
危険,Danger,kiken
前身,Antecedent,zenshin
殺す,kill,korosu
編入,Incorporation,hennyuu
文書,documents,bunsho
課程,Course,katei
機会,opportunity,kikai
大半,The majority,taihan
スタッフ,staff,sutaffu
ショー,show,shoo
鈴木,Suzuki,suzuki
視,Viewing,shi
スペシャル,Special,supesharu
症,Disease,shou
直前,Just before,chokuzen
チャート,chart,chaato
地点,point,chiten
満,Mitsuru,man
経歴,Career,keireki
球団,Baseball team,kyuudan
張,Zhang,chou
治療,Treatment,chiryou
進行,Advance,shinkou
移す,Transfer,utsusu
ソビエト,Soviet,sobieto
側,~ side,gawa
田中,Tanaka,tanaka
剤,Drug,zai
積極,Positive,sekkyoku
ウィリアム,William,uiriamu
フォン,phone,fon
犬,dog,inu
カール,curl,kaaru
ワシントン,Washington,washinton
代,Generation,dai
金融,Financial,kinyuu
検討,Consideration,kentou
交響,Symphony,koukyou
政党,Political party,seitou
解放,release,kaihou
ケース,Case,keesu
ワールドカップ,World Cup,waarudokappu
築く,build,kizuku
児童,Children,jidou
芸能,Performing Arts,geinou
公共,public,koukyou
開幕,Opening,kaimaku
鳥,bird,tori
準備,Preparation,junbi
機動,Maneuver,kidou
沿い,Along,soi
ランキング,Ranking,rankingu
なら,Nara,nara
初め,beginning,hajime
録音,recording,rokuon
弘,Hiroshi,hiroshi
アカデミー,Academy,akademii
投入,Turned,tounyuu
優れる,Excel,masare ru
新設,Newly established,shinsetsu
組み合わせる,combine,kumiawase ru
感じる,feel,kanji ru
意識,Consciousness,ishiki
稀,rare,mare
結合,Combining,ketsugou
球,ball,tama
先ず,First of all,mazu
医学,Medicine,igaku
回復,recovery,kaifuku
香港,Hong Kong,honkon
合流,Confluence,gouryuu
国勢,Citizenship,kokusei
生む,Produce,umu
べき,Must,beki
合成,Synthesis,gousei
浦,Ura,ura
壁,wall,kabe
自衛,Self-defense,jiei
言える,It can be said,ie ru
統計,statistics,toukei
友,friend,tomo
飾る,decorate,kazaru
徳島,Tokushima,toku shima
単独,Single,tandoku
上る,climb,noboru
殺害,Killing,satsugai
中村,Nakamura,nakamura
決まる,Determined,kima ru
終える,Finish,oe ru
処分,disposal,shobun
ルール,rule,ruuru
ミュージック,Music,myuujikku
程度,degree,teido
平方,square,heihou
海岸,Coast,kaigan
改善,Improvement,kaizen
集合,set,shuugou
カトリック,Catholic,katorikku
カメラ,camera,kamera
週間,weekly,shuukan
中間,Middle,chuukan
料,Fee,ryou
許す,forgive,yurusu
暦,calendar,koyomi
新人,Newcomer,shinjin
藤原,Fujiwara,fujiwara
チャンネル,Channel,channeru
テスト,test,tesuto
練習,practice,renshuu
建,Ken,ken
旗,flag,hata
去る,leave,saru
毎週,Every week,maishuu
鏡,mirror,kagami
鎌倉,Kamakura,kamakura
買う,buy,kau
三郎,Saburo,saburou
宮城,Miyagi,miyagi
高度,Advanced,koudo
次郎,Jiro,jirou
巨大,Huge,kyodai
わけ,reason,wake
タレント,talent,tarento
メキシコ,Mexico,mekishiko
地下鉄,subway,chikatetsu
ギリシャ,Greece,girisha
出会う,meet,deau
コンサート,concert,konsaato
ソング,song,songu
東西,East west,touzai
ルート,root,ruuto
画面,screen,gamen
佐藤,Sato,satou
医師,Doctor,ishi
放映,Televising,houei
市長,Mayor,shichou
かつ,And,katsu
顔,face,kao
薬,medicine,kusuri
欧,Europe,ou
北京,Beijing,pekin
地帯,Zone,chitai
英国,The UK,eikoku
人民,People,jinmin
相互,Mutual,sougo
タイム,time,taimu
接する,Contact,sessu ru
全員,All members, zenin
翼,Wing,tsubasa
姓,Surname,sei
セット,set,setto
楽,easy,raku
フル,full,furu
癒える,Be healed,ie ru
消滅,Extinction,shoumetsu
富士,Fuji,fuji
試みる,Try,kokoromi ru
会場,Meeting place,kaijou
移住,Immigration,ijuu
規制,Regulation,kisei
貴族,Aristocracy,kizoku
付,With,tsuki
旅,Journey,tabi
祭り,Festival,matsuri
買収,Purchase,baishuu
外交,Diplomacy,gaikou
戦略,strategy,senryaku
話す,speak,hanasu
各国,The countries,kakkoku
性,sex,sei
乱,Ran,ran
早い,early,hayai
北西,Northwest,hokusei
現象,phenomenon,genshou
ポール,Pole,pooru
網,network,ami
確立,Establishment,kakuritsu
在,Standing,zai
年齢,age,nenrei
根,root,ne
吉田,Yoshida,yoshida
青森,Aomori,aomori
出走,Race,shussou
雪,snow,yuki
軍団,Army corps,gundan
歴任,Served,rekinin
招く,Invite,maneku
生ずる,Cause,shouzu ru
漢,Han,kan
抵抗,resistance,teikou
大分,Much,ooita
ハンガリー,Hungary,hangarii
駅舎,Station building,ekisha
反乱,Rebellion,hanran
丁目,Chome,choume
南西,Southwest,nansei
手法,Technique,shuhou
軍人,Military personnel,gunjin
カラー,Color,karaa
火,fire,hi
表明,Expression,hyoumei
戦艦,Battleship,senkan
動作,motion,dousa
翻訳,translation,honyaku
アイルランド,Ireland,airurando
ソロ,solo,soro
ジュニア,Junior,junia
署,Signed,sho
有,Yes,ari
落ちる,drop down,ochiru
集まる,get together,atsumaru
輸入,Import,yunyuu
スタジアム,Stadium,sutajiamu
有効,Effectiveness,yuukou
財,The goods,zai
検査,Inspection,kensa
アーティスト,Artists,aateisuto
広告,Advertisement,koukoku
ブロック,block,burokku
体育,physical education,taiiku
捕らえる,capture,tora eru
昇進,promotion,shoushin
生涯,Lifetime,shougai
自転車,bicycle,jitensha
許可,Permission,kyoka
やや,kind of,yaya
提出,Submission,teishutsu
名義,The name,meigi
用意,Preparation,youi
話題,topic,wadai
どちら,Which,dochira
国王,King,kokuou
罪,sin,tsumi
推定,Estimation,suitei
区域,Zone,kuiki
ギター,guitar,gitaa
キー,Key,kii
死後,After death,shigo
塔,Tower,tou
尚,still,takashi
富山,Toyama,toyama
国会,Parliament,kokkai
草,grass,kusa
生成,Form,seisei
予備,Reserve,yobi
判決,Judgment,hanketsu
隣り,Next to,tonari
健康,health,kenkou
危機,crisis,kiki
額,amount,hitai
緑,Greenery,midori
低下,Lowering,teika
